Epoch,Loss
1,6.1367
2,6.4241
3,5.7083
4,5.0156
5,5.2779
6,4.7248
7,4.7502
8,4.1195
9,4.1993
10,3.9333
11,3.5100
12,3.4904
13,3.2869
14,3.1651
15,2.6569
16,2.3535
17,3.2059
18,2.4015
19,2.8778
20,2.2411
21,2.0358
22,1.7172
23,1.9290
24,2.0762
25,1.5338
26,1.6352
27,1.6675
28,1.3055
29,1.2031
30,1.2985
31,1.1019
32,1.3073
33,1.3695
34,1.4749
35,0.9380
36,1.4598
37,1.2709
38,1.3605
39,1.0974
40,1.3503
41,1.4107
42,1.1595
43,1.1116
44,1.1436
45,0.9252
46,1.1323
47,1.2282
48,1.0008
49,1.1755
50,0.7438
51,0.7354
52,0.8421
53,1.0959
54,1.4958
55,1.0291
56,0.9754
